,tweet_id,name,type,rating_numerator,rating_denominator,rating
330,833124694597443584,Gidget,pupper,12,10,1.2
331,832998151111966721,Rhino,doggo,13,10,1.3
333,832757312314028032,Willow,None,13,10,1.3
334,832682457690300417,None,None,13,10,1.3
335,832645525019123713,not,None,10,10,1.0
336,832636094638288896,Orion,None,12,10,1.2
337,832397543355072512,Eevee,None,12,10,1.2
338,832369877331693569,Charlie,None,11,10,1.1
339,832273440279240704,Smiley,doggo,14,10,1.4
342,832088576586297345,None,None,11,10,1.1
344,832032802820481025,Miguel,doggo,12,10,1.2
345,831939777352105988,Emanuel,doggo,12,10,1.2
346,831926988323639298,None,None,12,10,1.2
347,831911600680497154,Kuyu,None,14,10,1.4
348,831670449226514432,Daisy,None,13,10,1.3
349,831650051525054464,None,None,13,10,1.3
350,831552930092285952,Dutch,None,13,10,1.3
351,831322785565769729,Pete,doggo,12,10,1.2
352,831315979191906304,None,pupper,13,10,1.3
353,831309418084069378,Scooter,None,12,10,1.2
354,831262627380748289,Tucker,None,12,10,1.2
355,830956169170665475,Reggie,None,12,10,1.2
356,830583320585068544,Lilly,None,13,10,1.3
358,830097400375152640,Samson,None,13,10,1.3
360,829861396166877184,Mia,None,12,10,1.2
361,829501995190984704,Leo,None,12,10,1.2
362,829449946868879360,None,doggo,11,10,1.1
363,829374341691346946,Astrid,doggo,13,10,1.3
364,829141528400556032,Malcolm,None,12,10,1.2
365,829011960981237760,Dexter,None,13,10,1.3
367,828770345708580865,Alfie,None,13,10,1.3
368,828708714936930305,Fiona,None,10,10,1.0
369,828650029636317184,one,None,14,10,1.4
370,828409743546925057,Mutt,None,12,10,1.2
371,828408677031882754,Bear,None,12,10,1.2
372,828381636999917570,Doobert,doggo,14,10,1.4
373,828376505180889089,Beebop,None,13,10,1.3
374,828372645993398273,Alexander,None,12,10,1.2
375,828361771580813312,None,None,12,10,1.2
376,828046555563323392,Sailer,None,13,10,1.3
377,828011680017821696,Brutus,None,11,10,1.1
378,827933404142436356,Kona,pupper,12,10,1.2
379,827653905312006145,Boots,None,12,10,1.2
380,827600520311402496,Tucker,None,13,10,1.3
381,827324948884643840,Ralphie,None,12,10,1.2
383,827199976799354881,Charlie,None,13,10,1.3
384,826958653328592898,Loki,doggo,12,10,1.2
385,826848821049180160,Cupid,doggo,13,10,1.3
387,826598799820865537,None,None,7,10,0.7
388,826598365270007810,Pawnd,None,13,10,1.3
389,826476773533745153,Pilot,doggo,12,10,1.2
390,826240494070030336,None,None,11,10,1.1
391,826204788643753985,None,doggo,13,10,1.3
392,826115272272650244,Ike,None,13,10,1.3
393,825876512159186944,Mo,None,11,10,1.1
394,825829644528148480,Toby,None,12,10,1.2
395,825535076884762624,None,puppo,14,10,1.4
396,825147591692263424,Sweet,None,13,10,1.3
398,825026590719483904,Pablo,puppo,12,10,1.2
400,824775126675836928,Scooter,None,12,10,1.2
401,824663926340194305,Wilson,None,13,10,1.3
402,824325613288833024,None,pupper,13,10,1.3
403,824297048279236611,Nala,None,11,10,1.1
404,824025158776213504,None,None,14,10,1.4
405,823939628516474880,Cash,None,12,10,1.2
407,823699002998870016,Winston,None,12,10,1.2
408,823581115634085888,Crawford,None,11,10,1.1
409,823333489516937216,None,None,13,10,1.3
410,823322678127919110,Wyatt,None,11,10,1.1
412,822975315408461824,Albus,None,12,10,1.2
413,822872901745569793,None,puppo,13,10,1.3
414,822859134160621569,Hobbes,None,12,10,1.2
416,822610361945911296,None,None,12,10,1.2
417,822489057087389700,Paisley,None,13,10,1.3
418,822462944365645825,Gabe,pupper,14,10,1.4
419,822244816520155136,None,None,11,10,1.1
421,821886076407029760,Jimison,None,13,10,1.3
423,821765923262631936,Duchess,doggo,13,10,1.3
424,821522889702862852,Harlso,None,13,10,1.3
426,821407182352777218,Sundance,doggo,14,10,1.4
427,821153421864615936,None,None,13,10,1.3
428,821149554670182400,Luca,None,12,10,1.2
429,821107785811234820,None,doggo,11,10,1.1
430,821044531881721856,Flash,None,12,10,1.2
432,820749716845686786,Sunny,None,13,10,1.3
436,820314633777061888,None,None,14,10,1.4
437,820078625395449857,None,None,12,10,1.2
439,819952236453363712,Oliver,puppo,13,10,1.3
440,819924195358416896,None,doggo,11,10,1.1
441,819711362133872643,Howie,None,11,10,1.1
442,819588359383371776,Jazzy,None,13,10,1.3
443,819347104292290561,Anna,None,12,10,1.2
444,819238181065359361,None,pupper,10,10,1.0
445,819227688460238848,Finn,None,12,10,1.2
448,819006400881917954,Sunny,doggo,14,10,1.4
449,819004803107983360,Bo,doggo,14,10,1.4
451,818627210458333184,Wafer,None,13,10,1.3
452,818614493328580609,Bear,None,12,10,1.2
454,818536468981415936,Tom,None,11,10,1.1
456,818259473185828864,Florence,None,12,10,1.2
457,818145370475810820,Autumn,None,11,10,1.1
458,817908911860748288,None,None,12,10,1.2
459,817827839487737858,Buddy,None,13,10,1.3
460,817777686764523521,Dido,pupper,13,10,1.3
461,817536400337801217,Eugene,None,12,10,1.2
463,817423860136083457,Ken,None,13,10,1.3
464,817415592588222464,Strudel,None,11,10,1.1
466,817171292965273600,Tebow,None,13,10,1.3
467,817120970343411712,None,None,13,10,1.3
468,817056546584727552,Chloe,None,11,10,1.1
470,816816676327063552,Timber,None,12,10,1.2
471,816697700272001025,Binky,None,12,10,1.2
472,816450570814898180,Moose,None,13,10,1.3
473,816336735214911488,Dudley,None,11,10,1.1
474,816091915477250048,Comet,None,12,10,1.2
477,815990720817401858,Jack,None,11,10,1.1
478,815966073409433600,None,pupper,13,10,1.3
480,815736392542261248,Akumi,None,11,10,1.1
481,815639385530101762,Titan,None,12,10,1.2
482,815390420867969024,None,None,13,10,1.3
483,814986499976527872,Cooper,pupper,11,10,1.1
484,814638523311648768,Olivia,None,12,10,1.2
486,814530161257443328,Alf,None,12,10,1.2
487,814153002265309185,Oshie,None,12,10,1.2
489,813910438903693312,Chubbs,doggo,11,10,1.1
490,813812741911748608,Gary,None,14,10,1.4
491,813800681631023104,Sky,None,12,10,1.2
492,813217897535406080,Atlas,None,13,10,1.3
493,813202720496779264,None,doggo,11,10,1.1
494,813187593374461952,None,None,13,10,1.3
495,813172488309972993,Eleanor,None,12,10,1.2
496,813157409116065792,Layla,None,12,10,1.2
